Chinese,English,Vietnamese,Tactics in Chinese,Tactics in English,Chiến Pháp
阚泽,Kan Ze,Hám Trạch,放火,Fire,Đốt Lửa
孙乾,Sun Qian,Tôn Càn,火功,Fire Attack,Hoả Công
曹休,Cao Xiu,Tào Hưu,挥砍,Hack,Vung Chém
車冑,Che Zhou,Xa Trụ,重击,Impact,Trọng Kích
孙皓,Sun Hao,Tôn Hạo,牵连,Implicate,Liên Luỵ
傅士任,Fu Ren,Phó Sỹ Nhân,护卫,Protect,Hộ Vệ
夏侯恩,Xiahou En,Hạ Hầu Ân,挑鲜,Provoke,Khiêu Khích
潘风,Pan Feng,Phan Phụng,追伤,Pursuit,Vô Song Thượng Tướng
虞翻,Yu Fan,Ngu Phiên,殿后,Rear Guard,Chốt Đuôi
向宠,Xiang Chong,Hướng Sủng,谈心,Repose,Tâm Sự
陶谦,Tao Qian,Đào Khiêm,援救,Salvage,Cứu Trợ
吳懿,Wu Yi,Ngô Ý,刺伤,Stab,Đâm Thương
宋宪,Song Xian,Tống Hiến,践踏,Stampede,Giẫm Đạp
何进,He Jin,Hà Tiến,还击,Strike Back,Phản Kích
吕虔,Lu Qian,Lữ Kiền,破甲,Sunder Armor,Phá Giáp
朱然,Zhu Ran,Chu Nhiên,毒气,Toxic Gas,Khí Độc
糜芳,Mi Fang,My Phương,识破,Undeceived,Phát Hiện
朦胧,Hazy,Hanzy,,,
,Soldier,Quân Sĩ,,,
丁原,Ding Yuan,#NAME?,猛击,Bash,Mãnh Kích
卞喜,Bian Xi,Biện Hỷ,压制,Conquer,Áp Chế
全琮,Quan Cong,Toàn Tông,奋发,Excite,Hăng Hái
阚泽,Kan Ze,Hám Trạch,放火,Fire,Đốt Lửa
孙乾,Sun Qian,Tôn Càn,火功,Fire Attack,Hoả Công
曹休,Cao Xiu,Tào Hưu,挥砍,Hack,Vung Chém
車冑,Che Zhou,Xa Trụ,重击,Impact,Trọng Kích
孙皓,Sun Hao,Tôn Hạo,牵连,Implicate,Liên Luỵ
傅士任,Fu Ren,Phó Sỹ Nhân,护卫,Protect,Hộ Vệ
夏侯恩,Xiahou En,Hạ Hầu Ân,挑鲜,Provoke,Khiêu Khích
潘风,Pan Feng,Phan Phụng,追伤,Pursuit,Vô Song Thượng Tướng
虞翻,Yu Fan,Ngu Phiên,殿后,Rear Guard,Chốt Đuôi
向宠,Xiang Chong,Hướng Sủng,谈心,Repose,Tâm Sự
陶谦,Tao Qian,Đào Khiêm,援救,Salvage,Cứu Trợ
吳懿,Wu Yi,Ngô Ý,刺伤,Stab,Đâm Thương
宋宪,Song Xian,Tống Hiến,践踏,Stampede,Giẫm Đạp
何进,He Jin,Hà Tiến,还击,Strike Back,Phản Kích
吕虔,Lu Qian,Lữ Kiền,破甲,Sunder Armor,Phá Giáp
朱然,Zhu Ran,#NAME?,毒气,Toxic Gas,Khí Độc
糜芳,Mi Fang,My Phương,识破,Undeceived,Phát Hiện
